method;k;f1;accuracy;dp;spd;eod
mondrian;2;0.83;0.83;0.74;0.04;0.21
mondrian;3;0.83;0.83;0.74;0.04;0.23
mondrian;4;0.84;0.84;0.73;0.03;0.23
mondrian;5;0.84;0.84;0.73;0.03;0.22
mondrian;6;0.83;0.83;0.71;0.02;0.21
mondrian;7;0.83;0.83;0.75;0.04;0.22
mondrian;8;0.83;0.83;0.68;0.02;0.21
mondrian;9;0.83;0.83;1.37;-0.01;0.17
mondrian;10;0.84;0.84;0.99;-0.03;0.12
mondrian;25;0.83;0.83;1.73;-0.01;0.19
mondrian;50;0.82;0.82;0.85;-0.16;0.30
mondrian;75;0.82;0.82;0.87;-0.15;0.30
mondrian;100;0.82;0.82;0.87;-0.15;0.30
modified_mondrian;2;0.83;0.83;0.74;0.05;0.24
modified_mondrian;3;0.84;0.84;0.76;0.05;0.25
modified_mondrian;4;0.83;0.83;0.81;0.05;0.24
modified_mondrian;5;0.83;0.83;0.80;0.04;0.22
modified_mondrian;6;0.83;0.83;1.19;-0.07;0.14
modified_mondrian;7;0.83;0.83;1.27;-0.02;0.16
modified_mondrian;8;0.83;0.83;1.43;-0.02;0.15
modified_mondrian;9;0.83;0.83;1.49;-0.02;0.16
modified_mondrian;10;0.83;0.83;1.57;-0.03;0.18
modified_mondrian;25;0.82;0.82;1.01;0.00;0.33
modified_mondrian;50;0.82;0.82;0.85;-0.16;0.30
modified_mondrian;75;0.82;0.82;0.87;-0.15;0.30
modified_mondrian;100;0.82;0.82;0.87;-0.15;0.30
original;0;0.84;0.84;0.73;0.04;0.23
