method;k;f1;accuracy;dp;spd;eod
mondrian;2;0.91;0.91;1.01;-0.01;-0.03
mondrian;3;0.92;0.92;0.99;-0.02;0.07
mondrian;4;0.90;0.89;0.95;-0.05;0.09
mondrian;5;0.92;0.92;1.07;0.04;0.16
mondrian;6;0.92;0.92;1.06;0.04;0.21
mondrian;7;0.91;0.91;1.07;0.04;0.21
mondrian;8;0.90;0.90;1.08;0.03;0.21
mondrian;9;0.91;0.91;1.03;0.01;0.36
mondrian;10;0.91;0.91;1.04;0.02;0.36
mondrian;25;0.91;0.91;1.01;-0.00;0.62
mondrian;50;0.93;0.93;1.14;0.09;0.69
mondrian;75;0.91;0.91;1.17;0.13;0.79
mondrian;100;0.91;0.91;1.11;0.07;0.74
modified_mondrian;2;0.93;0.92;1.00;-0.01;-0.05
modified_mondrian;3;0.90;0.90;0.98;0.07;0.13
modified_mondrian;4;0.91;0.91;1.01;0.10;0.14
modified_mondrian;5;0.90;0.90;1.14;0.04;0.29
modified_mondrian;6;0.90;0.90;1.03;0.01;0.35
modified_mondrian;7;0.92;0.92;1.00;-0.01;0.35
modified_mondrian;8;0.90;0.90;1.02;0.00;0.46
modified_mondrian;9;0.91;0.91;1.02;0.01;0.46
modified_mondrian;10;0.90;0.90;0.96;-0.05;0.50
modified_mondrian;25;0.90;0.90;1.06;0.04;0.62
modified_mondrian;50;0.93;0.93;1.14;0.09;0.69
modified_mondrian;75;0.91;0.91;1.17;0.13;0.79
modified_mondrian;100;0.92;0.92;1.20;0.14;0.79
original;0;0.90;0.90;1.01;0.00;-0.01
